Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep27 step 200/348 loss 0.0336
  ep27 step 220/348 loss 0.0337
  ep27 step 240/348 loss 0.0327
  ep27 step 260/348 loss 0.0334
  ep27 step 280/348 loss 0.0324
  ep27 step 300/348 loss 0.0320
  ep27 step 320/348 loss 0.0321
  ep27 step 340/348 loss 0.0320
[grader] epoch 27/30 loss 0.0319 AUC(ref) 0.9487 QWK 0.8369 acc 0.7729 sens(g>=3) 0.8008
  ep28 step 0/348 loss 0.0383
  ep28 step 20/348 loss 0.0208
  ep28 step 40/348 loss 0.0261
  ep28 step 60/348 loss 0.0248
  ep28 step 80/348 loss 0.0238
  ep28 step 100/348 loss 0.0270
  ep28 step 120/348 loss 0.0271
  ep28 step 140/348 loss 0.0273
  ep28 step 160/348 loss 0.0267
  ep28 step 180/348 loss 0.0267
  ep28 step 200/348 loss 0.0276
  ep28 step 220/348 loss 0.0292
  ep28 step 240/348 loss 0.0291
  ep28 step 260/348 loss 0.0282
  ep28 step 280/348 loss 0.0288
  ep28 step 300/348 loss 0.0286
  ep28 step 320/348 loss 0.0290
  ep28 step 340/348 loss 0.0287
[grader] epoch 28/30 loss 0.0288 AUC(ref) 0.9489 QWK 0.8377 acc 0.7769 sens(g>=3) 0.7967
  ep29 step 0/348 loss 0.1267
  ep29 step 20/348 loss 0.0323
  ep29 step 40/348 loss 0.0251
  ep29 step 60/348 loss 0.0300
  ep29 step 80/348 loss 0.0290
  ep29 step 100/348 loss 0.0333
  ep29 step 120/348 loss 0.0312
  ep29 step 140/348 loss 0.0303
  ep29 step 160/348 loss 0.0301
  ep29 step 180/348 loss 0.0296
  ep29 step 200/348 loss 0.0310
  ep29 step 220/348 loss 0.0306
  ep29 step 240/348 loss 0.0300
  ep29 step 260/348 loss 0.0296
  ep29 step 280/348 loss 0.0299
  ep29 step 300/348 loss 0.0300
  ep29 step 320/348 loss 0.0302
  ep29 step 340/348 loss 0.0304
[grader] epoch 29/30 loss 0.0302 AUC(ref) 0.9492 QWK 0.8396 acc 0.7797 sens(g>=3) 0.8008
  ep30 step 0/348 loss 0.0424
  ep30 step 20/348 loss 0.0245
  ep30 step 40/348 loss 0.0228
  ep30 step 60/348 loss 0.0257
  ep30 step 80/348 loss 0.0242
  ep30 step 100/348 loss 0.0226
  ep30 step 120/348 loss 0.0249
  ep30 step 140/348 loss 0.0248
  ep30 step 160/348 loss 0.0246
  ep30 step 180/348 loss 0.0243
  ep30 step 200/348 loss 0.0248
  ep30 step 220/348 loss 0.0244
  ep30 step 240/348 loss 0.0254
  ep30 step 260/348 loss 0.0260
  ep30 step 280/348 loss 0.0258
  ep30 step 300/348 loss 0.0260
  ep30 step 320/348 loss 0.0267
  ep30 step 340/348 loss 0.0263
[grader] epoch 30/30 loss 0.0261 AUC(ref) 0.9489 QWK 0.8394 acc 0.7793 sens(g>=3) 0.8008

Best qwk 0.8466 at epoch 11 (53.8 min)
  at that epoch: AUC(ref) 0.9523  QWK 0.8466  sens(g>=3) 0.8340
  per-grade recall: 0:0.82  1:0.64  2:0.67  3:0.59  4:0.76
Checkpoint: outputs\grader_fusion_ddrseg\best.pt
