Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep29 step 100/348 loss 0.0346
  ep29 step 120/348 loss 0.0329
  ep29 step 140/348 loss 0.0356
  ep29 step 160/348 loss 0.0344
  ep29 step 180/348 loss 0.0343
  ep29 step 200/348 loss 0.0340
  ep29 step 220/348 loss 0.0350
  ep29 step 240/348 loss 0.0353
  ep29 step 260/348 loss 0.0342
  ep29 step 280/348 loss 0.0350
  ep29 step 300/348 loss 0.0354
  ep29 step 320/348 loss 0.0352
  ep29 step 340/348 loss 0.0363
[grader] epoch 29/30 loss 0.0360 AUC(ref) 0.9572 QWK 0.8573 acc 0.7966 sens(g>=3) 0.7967
  ep30 step 0/348 loss 0.0567
  ep30 step 20/348 loss 0.0366
  ep30 step 40/348 loss 0.0405
  ep30 step 60/348 loss 0.0382
  ep30 step 80/348 loss 0.0388
  ep30 step 100/348 loss 0.0380
  ep30 step 120/348 loss 0.0354
  ep30 step 140/348 loss 0.0352
  ep30 step 160/348 loss 0.0340
  ep30 step 180/348 loss 0.0339
  ep30 step 200/348 loss 0.0343
  ep30 step 220/348 loss 0.0348
  ep30 step 240/348 loss 0.0343
  ep30 step 260/348 loss 0.0341
  ep30 step 280/348 loss 0.0340
  ep30 step 300/348 loss 0.0342
  ep30 step 320/348 loss 0.0338
  ep30 step 340/348 loss 0.0339
[grader] epoch 30/30 loss 0.0340 AUC(ref) 0.9574 QWK 0.8583 acc 0.7962 sens(g>=3) 0.7967

Best qwk 0.8597 at epoch 26 (58.4 min)
  at that epoch: AUC(ref) 0.9562  QWK 0.8597  sens(g>=3) 0.8133
  per-grade recall: 0:0.89  1:0.60  2:0.72  3:0.41  4:0.83
Checkpoint: outputs\grader_fusion_fix\best.pt
